HMC5883L connection successful
MPU6050 connection successful
BMP085 connection successful
t	ax	ay	az	gx	gy	gz	mx	my	mz	temp	press	alt
23	517	-348	1873	498	-313	-227	82	-145	-260	12.20	99535.00	150.11
45	427	-592	1822	-197	343	40	82	-145	-260	12.20	99543.00	149.43
65	370	-454	1925	-138	191	-721	82	-145	-260	12.20	99543.00	149.43
86	685	-362	1890	-204	60	-1790	94	-140	-261	12.20	99542.00	149.52
107	2767	109	-586	-795	334	-2928	94	-140	-261	12.20	99540.00	149.68
128	755	-795	1996	-126	59	-3061	94	-140	-261	12.20	99538.00	149.85
149	247	-1645	624	-76	93	-3152	66	-106	-253	12.20	99546.00	149.18
169	-1109	-920	1710	-108	118	-2765	66	-106	-253	12.20	99534.00	150.19
191	288	-1358	1812	113	54	-1608	66	-106	-253	12.20	99540.00	149.68
211	441	-611	1864	324	-43	-1396	42	-86	-246	12.20	99538.00	149.85
232	618	-560	1761	429	-176	-1873	42	-86	-246	12.20	99542.00	149.52
253	648	-383	1665	525	-421	-1903	42	-86	-246	12.20	99536.00	150.02
274	1013	-420	1592	575	-580	-1403	8	-98	-251	12.30	99543.00	149.43
295	949	-604	2406	522	-687	-1512	8	-98	-251	12.20	99544.00	149.35
316	95	73	2078	30	-293	-1454	8	-98	-251	12.30	99541.00	149.60
336	2211	-1335	511	472	-112	-1546	8	-98	-251	12.30	99536.00	150.02
358	842	-289	1538	369	-117	-934	-18	-105	-253	12.30	99541.00	149.60
378	1407	-959	837	856	-552	-1410	-18	-105	-253	12.20	99535.00	150.11
400	1029	-185	2032	667	-595	-1692	-18	-105	-253	12.30	99543.00	149.43
420	1135	-916	1233	443	-510	-1893	-44	-125	-260	12.30	99545.00	149.26
442	955	-113	1364	278	-407	-1244	-44	-125	-260	12.30	99547.00	149.10
462	1185	230	1789	248	-183	-1246	-44	-125	-260	12.30	99543.00	149.43
484	950	44	1583	339	-44	-1576	-72	-138	-266	12.30	99549.00	148.93
504	1104	389	1794	502	-61	-1582	-72	-138	-266	12.30	99541.00	149.60
526	990	111	1467	544	-90	-1741	-72	-138	-266	12.30	99536.00	150.02
546	819	255	1775	427	-162	-1536	-88	-160	-270	12.30	99542.00	149.52
568	1177	90	1835	418	-100	-1370	-88	-160	-270	12.30	99541.00	149.60
588	1115	343	1948	309	-8	-1288	-88	-160	-270	12.30	99541.00	149.60
610	985	375	1706	227	30	-1202	-99	-182	-275	12.30	99540.00	149.68
630	811	514	1730	199	-63	-1129	-99	-182	-275	12.30	99543.00	149.43
651	921	399	1724	246	-201	-1066	-99	-182	-275	12.30	99548.00	149.01
672	965	437	1655	278	-179	-1026	-112	-196	-271	12.30	99537.00	149.94
693	1093	468	1789	297	-52	-935	-112	-196	-271	12.30	99539.00	149.77
714	986	564	1738	238	89	-917	-112	-196	-271	12.30	99539.00	149.77
735	966	542	1637	104	53	-1034	-112	-196	-271	12.30	99546.00	149.18
756	813	576	1639	18	-38	-859	-118	-213	-273	12.30	99533.00	150.28
777	1399	502	1727	30	-4	-1024	-118	-213	-273	12.30	99543.00	149.43
798	980	648	1672	36	118	-890	-118	-213	-273	12.30	99540.00	149.68
819	902	637	1735	-46	234	-734	-122	-222	-275	12.30	99534.00	150.19
840	833	623	1731	-101	197	-586	-122	-222	-275	12.30	99538.00	149.85
861	868	661	1704	-82	101	-464	-122	-222	-275	12.30	99538.00	149.85
881	688	651	1645	-28	-18	-48	-120	-222	-278	12.30	99534.00	150.19
903	755	766	1643	6	-151	187	-120	-222	-278	12.30	99544.00	149.35
923	854	660	1732	42	-196	-380	-120	-222	-278	12.30	99543.00	149.43
945	896	712	1774	35	-178	-312	-121	-227	-279	12.30	99540.00	149.68
965	1011	734	1650	-27	-42	0	-121	-227	-279	12.30	99548.00	149.01
986	951	762	1575	-130	164	528	-121	-227	-279	12.30	99540.00	149.68
1007	755	513	1608	-165	157	1227	-120	-225	-277	12.30	99540.00	149.68
1029	917	718	1753	-172	16	1475	-120	-225	-277	12.30	99542.00	149.52
1049	1043	289	1700	-213	-163	1324	-120	-225	-277	12.30	99538.00	149.85
1071	1338	841	1828	-389	-70	893	-118	-215	-274	12.30	99545.00	149.26
1091	976	326	1723	-417	-14	832	-118	-215	-274	12.30	99539.00	149.77
1113	342	385	1747	-412	-144	934	-118	-215	-274	12.30	99542.00	149.52
1133	596	397	1481	-372	-367	1217	-118	-193	-271	12.30	99539.00	149.77
1155	674	466	1258	-246	-466	899	-118	-193	-271	12.30	99547.00	149.10
1175	970	273	1653	-275	-196	242	-118	-193	-271	12.30	99543.00	149.43
1197	1168	319	1875	-157	-16	539	-118	-193	-271	12.30	99536.00	150.02
1217	1263	305	1810	-179	169	962	-123	-183	-266	12.30	99544.00	149.35
1239	998	413	2004	-263	293	1214	-123	-183	-266	12.30	99545.00	149.26
1260	1111	147	2089	-145	265	357	-123	-183	-266	12.30	99554.00	148.50
1281	551	392	1600	-9	103	-244	-109	-174	-266	12.30	99540.00	149.68
1302	1026	350	1766	-8	-148	42	-109	-174	-266	12.30	99549.00	148.93
1323	933	367	1880	-80	-58	502	-109	-174	-266	12.30	99538.00	149.85
1343	1073	330	1797	-181	-14	788	-108	-170	-271	12.30	99545.00	149.26
1364	960	262	1710	-162	50	451	-108	-170	-271	12.30	99548.00	149.01
1385	1074	222	1599	-93	86	321	-108	-170	-271	12.30	99544.00	149.35
1406	1022	215	1717	44	135	344	-102	-167	-267	12.30	99545.00	149.26
1427	1106	266	1800	46	149	818	-102	-167	-267	12.30	99545.00	149.26
1448	928	249	1716	-94	33	1009	-102	-167	-267	12.30	99545.00	149.26
1469	893	312	1559	-248	-116	549	-91	-162	-272	12.30	99543.00	149.43
1490	1073	81	1685	-175	-144	282	-91	-162	-272	12.30	99543.00	149.43
1511	1076	157	1730	7	21	329	-91	-162	-272	12.30	99541.00	149.60
1532	963	220	1857	-1	37	735	-93	-160	-267	12.30	99544.00	149.35
