HMC5883L connection successful
MPU6050 connection successful
BMP085 connection successful
t	ax	ay	az	gx	gy	gz	mx	my	mz	temp	press	alt
23	-254	62	1989	822	-687	-933	245	-472	-291	6.40	99495.00	153.49
45	-274	77	1975	-40	17	3	245	-472	-291	6.40	99497.00	153.32
65	-328	47	1966	-27	26	4	245	-472	-291	6.40	99488.00	154.08
86	-349	66	1975	-15	2	18	247	-473	-297	6.40	99486.00	154.25
106	-305	101	1990	-26	-15	19	247	-473	-297	6.50	99491.00	153.83
126	-283	96	1993	-37	0	-3	247	-473	-297	6.50	99495.00	153.49
147	-312	64	1972	-41	17	-32	246	-474	-295	6.50	99495.00	153.49
168	-361	47	1963	-29	2	-27	246	-474	-295	6.50	99488.00	154.08
189	-324	43	1965	-20	-35	-3	246	-474	-295	6.50	99490.00	153.91
209	-285	65	1963	-33	-51	10	246	-474	-290	6.50	99495.00	153.49
230	-268	82	1966	-49	-33	14	246	-474	-290	6.50	99495.00	153.49
251	-244	86	1977	-65	2	8	246	-474	-290	6.50	99497.00	153.32
272	-296	80	1969	-71	14	6	246	-474	-290	6.50	99496.00	153.40
292	-350	67	1932	-83	2	12	244	-475	-290	6.50	99495.00	153.49
313	-337	68	1923	-93	-16	31	244	-475	-290	6.50	99494.00	153.57
333	-318	38	1939	-96	-20	32	244	-475	-290	6.50	99499.00	153.15
355	-327	49	1987	-88	-35	41	243	-475	-290	6.50	99497.00	153.32
375	-298	57	1980	-79	-44	48	243	-475	-290	6.50	99499.00	153.15
396	-260	57	2007	-72	-41	51	243	-475	-290	6.50	99496.00	153.40
416	-264	74	1981	-77	-15	33	243	-473	-298	6.50	99493.00	153.66
437	-291	53	1944	-74	5	22	243	-473	-298	6.50	99501.00	152.98
458	-317	44	1964	-69	1	19	243	-473	-298	6.50	99496.00	153.40
479	-312	45	1961	-58	-16	30	243	-473	-297	6.50	99499.00	153.15
499	-283	36	1961	-47	-30	20	243	-473	-297	6.50	99494.00	153.57
520	-268	76	1972	-54	-31	12	243	-473	-297	6.50	99493.00	153.66
541	-309	62	1947	-62	-34	-1	241	-472	-296	6.50	99502.00	152.90
562	-314	43	1949	-59	-67	-9	241	-472	-296	6.50	99495.00	153.49
582	-333	53	2011	-55	-98	-6	241	-472	-296	6.50	99499.00	153.15
603	-292	61	1972	-47	-125	2	239	-472	-293	6.50	99494.00	153.57
623	-252	88	1953	-55	-128	-2	239	-472	-293	6.50	99495.00	153.49
645	-256	101	1967	-78	-121	-24	239	-472	-293	6.50	99499.00	153.15
665	-329	46	1974	-91	-141	-34	239	-472	-293	6.50	99498.00	153.23
686	-260	78	2009	-64	-127	-4	235	-471	-294	6.50	99497.00	153.32
707	-219	68	1996	-49	-86	-25	235	-471	-294	6.50	99501.00	152.98
728	-213	45	1967	-46	-61	-31	235	-471	-294	6.50	99494.00	153.57
748	-211	63	1958	-41	-33	-32	232	-471	-302	6.50	99495.00	153.49
769	-229	51	1930	-41	-3	-27	232	-471	-302	6.50	99488.00	154.08
789	-290	14	1939	-27	-7	-8	232	-471	-302	6.50	99496.00	153.40
811	-269	0	1933	-2	-38	4	232	-472	-303	6.60	99497.00	153.32
831	-265	-2	1904	9	-59	23	232	-472	-303	6.50	99498.00	153.23
851	-206	42	1965	23	-70	51	232	-472	-303	6.50	99496.00	153.40
872	-169	-10	2028	40	-60	38	230	-474	-303	6.60	99497.00	153.32
892	-119	54	2026	79	-8	45	230	-474	-303	6.60	99499.00	153.15
914	-173	63	2048	77	55	14	230	-474	-303	6.60	99495.00	153.49
934	-268	54	2047	81	67	7	230	-479	-297	6.60	99502.00	152.90
955	-298	64	2002	69	47	37	230	-479	-297	6.60	99492.00	153.74
975	-317	72	2005	59	11	44	230	-479	-297	6.60	99491.00	153.83
997	-254	108	1979	24	-16	32	230	-479	-297	6.60	99497.00	153.32
1017	-268	132	2023	-37	-33	26	230	-484	-299	6.60	99496.00	153.40
1038	-261	140	2035	-99	-55	43	230	-484	-299	6.60	99490.00	153.91
1058	-260	101	2019	-137	-65	42	230	-484	-299	6.60	99492.00	153.74
1080	-214	88	2006	-146	-50	25	228	-483	-298	6.60	99492.00	153.74
1100	-220	67	1999	-133	-27	19	228	-483	-298	6.60	99495.00	153.49
1121	-234	61	2005	-111	-21	12	228	-483	-298	6.60	99495.00	153.49
1142	-222	66	1964	-82	-23	8	227	-481	-302	6.60	99500.00	153.06
1163	-194	51	1957	-61	-6	17	227	-481	-302	6.60	99494.00	153.57
1183	-215	56	1980	-41	9	26	227	-481	-302	6.60	99495.00	153.49
1205	-181	105	1908	-43	32	17	227	-480	-303	6.60	99493.00	153.66
1225	-234	85	1952	-46	50	26	227	-480	-303	6.60	99491.00	153.83
1246	-263	78	1984	-48	42	31	227	-480	-303	6.60	99496.00	153.40
1267	-275	75	1988	-46	11	30	227	-481	-299	6.60	99499.00	153.15
1288	-267	64	2035	-24	-25	19	227	-481	-299	6.60	99495.00	153.49
1308	-224	121	2003	-31	-40	16	227	-481	-299	6.60	99497.00	153.32
1329	-214	131	2005	-45	-46	14	225	-481	-299	6.60	99492.00	153.74
1350	-213	99	2005	-50	-47	14	225	-481	-301	6.60	99493.00	153.66
1371	-194	133	1999	-56	-35	5	225	-481	-301	6.60	99498.00	153.23
1391	-197	124	1981	-62	-17	-26	225	-481	-301	6.60	99501.00	152.98
1413	-223	96	1998	-50	-13	-20	223	-483	-298	6.60	99501.00	152.98
1433	-222	89	1965	-42	-27	-27	223	-483	-298	6.60	99501.00	152.98
1454	-206	96	1964	-37	-43	-24	223	-483	-298	6.60	99507.00	152.47
1475	-230	99	1972	-41	-64	-44	225	-482	-301	6.60	99498.00	153.23
1496	-115	12	2049	17	-231	107	225	-482	-301	6.60	99508.00	152.39
1516	69	147	2024	18	-127	-79	225	-482	-301	6.60	99501.00	152.98
1538	-177	90	1944	8	-112	-36	219	-483	-305	6.60	99496.00	153.40
1558	-167	140	2052	-17	-117	-22	219	-483	-305	6.60	99495.00	153.49
1579	-389	321	2150	-46	-123	-15	219	-483	-305	6.60	99510.00	152.22
1600	-162	170	2083	-116	-79	-79	217	-481	-307	6.60	99514.00	151.88
1620	-179	81	1988	-155	-37	-67	217	-481	-307	6.60	99498.00	153.23
1641	-73	70	2092	-174	4	-132	217	-481	-307	6.60	99501.00	152.98
1662	-1155	4026	3677	127	52	-76	215	-478	-303	6.60	99509.00	152.31
1683	-223	152	2287	226	-65	13	215	-478	-303	6.60	99497.00	153.32
1704	-72	505	1878	147	-86	-51	215	-478	-303	6.60	99501.00	152.98
1725	1222	965	1442	126	76	-73	215	-478	-303	6.60	99506.00	152.56
1745	-20	165	2050	87	72	36	216	-483	-303	6.60	99492.00	153.74
1767	-120	227	2240	-36	80	-37	216	-483	-303	6.60	99495.00	153.49
1787	33	245	2281	-146	-2	-38	216	-483	-303	6.60	99497.00	153.32
1808	-54	230	2010	-227	32	-35	217	-485	-301	6.60	99493.00	153.66
1829	-212	119	1983	-248	55	-85	217	-485	-301	6.60	99508.00	152.39
1850	-252	37	1974	-223	26	-82	217	-485	-301	6.60	99501.00	152.98
1870	-254	0	1899	-152	-16	-67	220	-478	-306	6.60	99499.00	153.15
1892	-189	-18	1878	-70	-25	-49	220	-478	-306	6.60	99495.00	153.49
1912	-151	20	1894	2	-3	-36	220	-478	-306	6.60	99494.00	153.57
1933	-130	44	1928	46	39	-34	219	-476	-309	6.60	99509.00	152.31
1953	-190	75	1935	76	66	-31	219	-476	-309	6.60	99499.00	153.15
1975	99	13	2690	2	143	-46	219	-476	-309	6.60	99514.00	151.88
1995	-252	79	2020	78	52	-37	222	-479	-307	6.60	99495.00	153.49
2016	-232	98	1992	48	9	-12	222	-479	-307	6.60	99510.00	152.22
2036	-184	128	2024	9	-16	-20	222	-479	-307	6.60	99508.00	152.39
2058	-176	141	2000	-34	-28	-29	221	-481	-304	6.60	99492.00	153.74
2078	-233	347	2112	-123	35	-38	221	-481	-304	6.60	99492.00	153.74
2099	-204	100	1896	-147	9	-45	221	-481	-304	6.60	99506.00	152.56
2120	-264	112	2018	-147	-32	-22	221	-481	-304	6.60	99504.00	152.73
2141	-355	-297	2182	67	-79	-24	222	-478	-300	6.60	99497.00	153.32
2161	-587	-387	2130	168	-185	-30	222	-478	-300	6.60	99513.00	151.97
2183	-663	190	2279	129	-264	-1	222	-478	-300	6.60	99507.00	152.47
2203	-359	814	-291	-58	-334	-11	218	-484	-303	6.60	99499.00	153.15
